id	domain	intent	src_utt	translated-tgt_utt	eval_text_translation
9051	Spotify	AddAlbumToPlaylist	remember that long play on my french indie pop playlist	zapamiętaj tę długą grę na mojej liście odtwarzania indie pop	0
9036	Spotify	AddAlbumToPlaylist	remember this lp on modernism 50 playlist on spotify	zapamiętaj tę playlistę modernism 50	0
9075	Spotify	AddAlbumToPlaylist	download that lp on playlist morning walk	ściągnij tę piosenkę na playliście morning walk	1
9076	Spotify	AddAlbumToPlaylist	download that single on playlist grime instrumentals on spotify	ściągnij tę piosenkę na liście odtwarzania grime instrumentals	1
9015	Spotify	AddAlbumToPlaylist	keep that single on playlist funk soul disco on spotify	zapisz tę piosenkę na liście odtwarzania funk soul disco	1
9028	Spotify	AddAlbumToPlaylist	keep that lp on my garage jams on spotify	zachowaj ten lp na moich garażach	0
8982	Spotify	AddAlbumToPlaylist	save this album to playlist detox	zapisz ten album na liście odtwarzania detox	1
8951	Spotify	AddAlbumToPlaylist	add this album to sad indie	dodaj ten album do sad indie	1
9063	Spotify	AddAlbumToPlaylist	remember that album on my asmr winder sounds playlist	zapamiętaj tę playlistę na moim asmr winder sounds	0
8975	Spotify	AddAlbumToPlaylist	add that lp to my workday lounge on spotify	dodaj ten lp do mojego programu spotify	0
3710	Calendar	AddEventOnDateWithName	create an event called jaynie birhday December 28th	utwórz wydarzenie o nazwie jaynie birhday 28 grudnia	1
3725	Calendar	AddEventOnDateWithName	set me lunch with toby on 7th May 2024	ustaw mi lunch z toby na 7 maja 2024 roku	1
3724	Calendar	AddEventOnDateWithName	make an entry in my calendar with title flight to owasso February 20th	zrób wpis w moim kalendarzu z tytułem samolot do owasso 20 lutego	1
3717	Calendar	AddEventOnDateWithName	create an event in the calendar February 2nd and name it meeting with rita stachura	utwórz wydarzenie w kalendarzu 2 lutego i nazwij to spotkanie z rita stachura	1
3715	Calendar	AddEventOnDateWithName	create an event in my calendar July 21st and give it a title lunch with jonas	utwórz w moim kalendarzu wydarzenie w dniu 21 lipca	0
3728	Calendar	AddEventOnDateWithName	there is flight to alabaster on 22nd February and i will be available	lot do alabastera jest 22 lutego i będę dostępny	0
3718	Calendar	AddEventOnDateWithName	create an event in the calendar October 1st and give it a title meeting with debbie laconte	utwórz wydarzenie w kalendarzu 1 października i daj mu spotkanie z debbie laconte	0
3702	Calendar	AddEventOnDateWithName	add an event called lunch with tyra to my calendar on 1st February	dodaj do mojego kalendarza lunch z tyrem 1 lutego	1
3727	Calendar	AddEventOnDateWithName	tell me later that flight to ellicott city January 7th	powiedz mi potem że samolot do miasta ellicott 7 stycznia	1
3708	Calendar	AddEventOnDateWithName	add an event to the calendar March 18th and give it a title meeting with robin	dodaj wydarzenie do kalendarza 18 marca i daj mu spotkanie tytułu z robinem	0
3827	Calendar	AddEventWithName	don't let me forget of dinner with dallas	zapomnij mi o kolacji z katowicami	0
3792	Calendar	AddEventWithName	save a reminder called yoga in the calendar	zapisz w kalendarzu przypomnienie o jogi	0
3801	Calendar	AddEventWithName	schedule an appointment called maya birhday	zaplanuj spotkanie nazywanej maya birhday	0
3757	Calendar	AddEventWithName	create a new an event called meeting with alison	utwórz nowe wydarzenie o nazwie spotkanie z alison	1
3764	Calendar	AddEventWithName	create a new a meeting dinner with holly	utwórz nową kolację z holly	0
3803	Calendar	AddEventWithName	schedule an appointment with title meeting with melissa	zaplanuj spotkanie z melissa w tytule	0
3794	Calendar	AddEventWithName	save a reminder with title walden birhday in my calendar	zapisz w moim kalendarzu przypomnienie o temacie walden birhday	1
3762	Calendar	AddEventWithName	create a new an appointment called bridget birhday	stwórz nowe spotkanie o nazwie bridget birhday	1
3737	Calendar	AddEventWithName	add a meeting called flight to crestline to the calendar	dodaj spotkanie o nazwie lot do crestline do kalendarza	1
3731	Calendar	AddEventWithName	add an appointment dinner with herbert to my calendar	dodaj spotkanie z herbertem do mojego kalendarza	0
9462	Spotify	AddSongToPlaylist	download current track	ściągnij bieżącą utwór	1
9473	Spotify	AddSongToPlaylist	i love this tune	uwielbiam ten ton	0
9448	Spotify	AddSongToPlaylist	keep that song	zachowaj tę piosenkę	1
9441	Spotify	AddSongToPlaylist	save this song	zapisz tę piosenkę	1
9442	Spotify	AddSongToPlaylist	save that song	zapisz tę piosenkę	1
9456	Spotify	AddSongToPlaylist	download that song	ściągnij tę piosenkę	1
9469	Spotify	AddSongToPlaylist	remember current song on my default playlist	zapamiętaj tę piosenkę na mojej liście odtwarzania	1
9467	Spotify	AddSongToPlaylist	remember that track	zapamiętaj ten utwór	1
9445	Spotify	AddSongToPlaylist	add current track to my default playlist	dodaj tę piosenkę na mojej liście odtwarzania	0
9447	Spotify	AddSongToPlaylist	keep this track on my default playlist	zachowaj ten utwór na mojej liście odtwarzania	1
9100	Spotify	AddSongToPlaylistWithName	add that song to playlist punk unplugged	dodaj tę piosenkę do playlisty punk unplugged	1
9213	Spotify	AddSongToPlaylistWithName	save song to my playlist midlife crisis	zapisz tę piosenkę na mojej liście odtwarzania midlife crisis	1
9091	Spotify	AddSongToPlaylistWithName	add this song to got djent playlist on spotify	dodaj ten utwór do playlisty o nazwie djent	1
9324	Spotify	AddSongToPlaylistWithName	keep that song to my playlist breaking up is hard to do	zostaw tę piosenkę na mojej liście odtwarzania breaking up to hard to do zrobienia	0
9201	Spotify	AddSongToPlaylistWithName	save currently playing song to my playlist jazz for study on spotify	zapisz tę piosenkę na mojej liście odtwarzania jazz for study	1
9241	Spotify	AddSongToPlaylistWithName	save that to our story playlist on spotify	zapisz tę piosenkę na naszej liście odtwarzania	0
9364	Spotify	AddSongToPlaylistWithName	remember currently playing on playlist ultimate metal	zapamiętaj tę piosenkę na liście odtwarzania ultimate metal	1
9224	Spotify	AddSongToPlaylistWithName	save this to afternoon workout playlist on spotify	zapisz tę piosenkę na liście odtwarzania po południu	0
9377	Spotify	AddSongToPlaylistWithName	remember currently playing track on summer playlist on spotify	zapamiętaj tę piosenkę na liście odtwarzania letniej	0
9422	Spotify	AddSongToPlaylistWithName	remember currently playing on my playlist cant breathe	zapamiętaj tę piosenkę na mojej liście odtwarzania cant breathe	1
9534	Spotify	AddSongWithNameToPlaylistWithName	save a track dumb angel on ig stories playlist	zapisz piosenkę dumb angel na ig stories playlista	0
9569	Spotify	AddSongWithNameToPlaylistWithName	remember track based on playlist losers in love	zapamiętaj utwór oparty na playliście losers in love	0
9551	Spotify	AddSongWithNameToPlaylistWithName	keep the track hazeldub on playlist gloomy days	zapisz hazeldub na liście odtwarzania gloomy days	1
9514	Spotify	AddSongWithNameToPlaylistWithName	save the song bol phil on good times and tan lines playlist	zapisz piosenkę bol phil na good times and tan lines playlista	0
9591	Spotify	AddSongWithNameToPlaylistWithName	remember a silence to burn on summer mixtape playlist on spotify	zapamiętaj cisze do poparzenia na liście odtwarzania mixtape	0
9555	Spotify	AddSongWithNameToPlaylistWithName	keep the track el artista on my crisis playlist	zachowaj utwór el artist na mojej liście odtwarzania kryzysowej	1
9560	Spotify	AddSongWithNameToPlaylistWithName	keep a song the coldest war on rhythmic euphoria playlist	zachowaj piosenkę najzimniejsza wojna na liście odtwarzania euphoria	1
9526	Spotify	AddSongWithNameToPlaylistWithName	save a song money to blow on my playlist take me away	zapisz pieniądze na mojej liście odtwarzania	0
9487	Spotify	AddSongWithNameToPlaylistWithName	add the song chrome, smoke and thunderroads to breakup playlist on spotify	dodaj piosenkę chrome, smoke and thunderroads do playlisty	0
9522	Spotify	AddSongWithNameToPlaylistWithName	save it always snows in salt lake city on fine lines playless ston spotify	zapisz it always snows in salt lake city na fine lines playless ston spotify	0
7141	Fitbit	AddWeight	help me control my weight	pomóż mi kontrolować moją wagę	1
7136	Fitbit	AddWeight	write down my weight on fitbit	zanotuj na fitbicie moją wagę	1
7140	Fitbit	AddWeight	is my mass going up	czy moja masa wzrasta	1
7132	Fitbit	AddWeight	remember my mass on my fitbit	zanotuj na fitbicie moją wagę	1
7124	Fitbit	AddWeight	add my weight to fitbit	dodaj moją wagę do fitbit	1
7137	Fitbit	AddWeight	write down my mass on fitbit	wypisz na fitbicie moją wagę	0
7142	Fitbit	AddWeight	help me control my mass	pomóż mi kontrolować moją wagę	1
7138	Fitbit	AddWeight	register my weight	zarejestruj moją wagę	1
7129	Fitbit	AddWeight	record my mass on my fitbit	nagraj moją wagę w fitbicie	0
7125	Fitbit	AddWeight	add my weight to my fitbit	dodaj moją wagę do fitbit	1
8246	Phone	CallContact	phone to tarah	zadzwoń do tarah	1
8254	Phone	CallContact	connect me with phone joan	połącz mnie z joan	1
8232	Phone	CallContact	dial raffaello phone number	przedzwoń do raffaello	1
8211	Phone	CallContact	call jereme	zadzwoń do jereme	1
8228	Phone	CallContact	dial alexi number	przedzwoń na alexi	0
8257	Phone	CallContact	connect me with phone napier via phone	połącz mnie z napier	0
8250	Phone	CallContact	connect me with phone marney	połącz mnie z marney	1
8262	Phone	CallContact	get me paapanen	daj mi paapanen	0
8227	Phone	CallContact	dial glori number	przedzwoń na glori	1
8231	Phone	CallContact	dial erminie number	przedzwoń do erminie	1
8291	Phone	CallEmergency	connect me with fire department	połącz mnie z straż pożarną	0
8289	Phone	CallEmergency	dial emergency services	przedzwoń na numer alarmowy	1
8288	Phone	CallEmergency	dial police	przedzwoń na policję	1
8298	Phone	CallEmergency	please get help for me	proszę znajdź mi pomoc	0
8287	Phone	CallEmergency	dial fire department	przedzwoń na straż pożarną	1
8285	Phone	CallEmergency	call police	dzwoń na policję	1
8284	Phone	CallEmergency	call fire department	dzwoń na straż pożarną	1
8293	Phone	CallEmergency	connect me with emergency services	połącz mnie z usługą awaryjną	0
8296	Phone	CallEmergency	police	policja	1
8295	Phone	CallEmergency	fire department	straż pożarną	0
8313	Phone	CallNumber	dial number 252265889	przedzwoń do 252265889	1
8300	Phone	CallNumber	call +34355662828	dzwoń na +34355662828	1
8343	Phone	CallNumber	connect me with phone number +34489669417	połącz mnie z numerem +34489669417	1
8314	Phone	CallNumber	dial number 295189414	przedzwoń do 295189414	1
8311	Phone	CallNumber	dial +34430632909	przedzwoń do +34430632909	1
8352	Phone	CallNumber	thet me five hundred daty and million four hundred twent weater thousand four hundred twenty on the firm	thet mi pięćset daty i milion czterysta dwadzieścia pogoda tysiąc czterysta dwadzieścia w firmie	0
8329	Phone	CallNumber	phone number 694687941	numer telefonu 694687941	1
8324	Phone	CallNumber	phone 812851597	telefon 812851597	1
8307	Phone	CallNumber	call number 360729173	dzwoń na 360729173	1
8319	Phone	CallNumber	dial number 222630460	przedzwoń do 222630460	1
15234	Wikipedia	ChangeLanguageToLanguage	display this page in german	pokaż tę stronę w języku niemieckim	1
15165	Wikipedia	ChangeLanguageToLanguage	change language of this page to arabic	zmień język tej strony na arabski	1
15239	Wikipedia	ChangeLanguageToLanguage	display this page in italian language	pokaż tę stronę w języku włoskim	1
15181	Wikipedia	ChangeLanguageToLanguage	switch language of this page to spanish	przełącz język tej strony na hiszpański	1
15274	Wikipedia	ChangeLanguageToLanguage	display that article in english	pokaż artykuł w języku angielskim	1
15205	Wikipedia	ChangeLanguageToLanguage	show that page in german	pokaż stronę w języku niemieckim	1
15171	Wikipedia	ChangeLanguageToLanguage	change language of this article to chinese	zmień język tego artykułu na chiński	1
15192	Wikipedia	ChangeLanguageToLanguage	switch language of this article to italian	przełącz język tego artykułu na włoski	1
15253	Wikipedia	ChangeLanguageToLanguage	display this article in italian	pokaż ten artykuł w języku włoskim	1
15176	Wikipedia	ChangeLanguageToLanguage	switch language to ukrainian	przełącz język strony na ukraiński	1
3360	Airconditioner	ChangeTemperature	adjust the minimum and maximum temperatures on my thermostat	dostosuj temperaturę minimalną i maksymalną na moim termostacie	1
3363	Airconditioner	ChangeTemperature	it is too hot in here	jest tu za gorąco	1
