id	domain	intent	src_utt	translated-tgt_utt
3345	Airconditioner	ChangeTemperature	change the minimum temperature on the thermostat	zmień temperaturę minimalną na termostacie
3346	Airconditioner	ChangeTemperature	chained the maximan temperature on the firmest dout	zmniejsz temperaturę maksymalną na najwyższą temperaturę
3347	Airconditioner	ChangeTemperature	change the maximum temperature on the thermostat	zmień temperaturę maksymalną na termostacie
3348	Airconditioner	ChangeTemperature	change the minimum and maximum temperatures on my thermostat	zmień temperaturę minimalną i maksymalną na moim termostacie
3349	Airconditioner	ChangeTemperature	set the minimum and maximum temperatures on the thermostat	przestaw temperaturę minimalną i maksymalną na termostacie
3350	Airconditioner	ChangeTemperature	set the minimum temperature on the thermostat	przestaw temperaturę minimalną na termostacie
3351	Airconditioner	ChangeTemperature	set the maximum temperature on my thermostat	ustaw inną temperaturę na moim termostacie
3352	Airconditioner	ChangeTemperature	set the maximum temperature on the thermostat	przestaw temperaturę maksymalną na termostacie
3353	Airconditioner	ChangeTemperature	set the minimum and maximum temperatures on my thermostat	przestaw temperaturę minimalną i maksymalną na moim termostacie
3354	Airconditioner	ChangeTemperature	modify the minimum temperature on the thermostat	modyfikuj temperaturę minimalną na termostacie
3355	Airconditioner	ChangeTemperature	modify the maximum temperature on my thermostat	modyfikuj temperaturę maksymalną na moim termostacie
3356	Airconditioner	ChangeTemperature	modify the maximum temperature on the thermostat	modyfikuj temperaturę maksymalną na termostacie
3357	Airconditioner	ChangeTemperature	modify the minimum and maximum temperatures on my thermostat	modyfikuj temperaturę minimalną i maksymalną na moim termostacie
3358	Airconditioner	ChangeTemperature	modify the minimum and maximum temperatures on the thermostat	modyfikuj temperaturę minimalną i maksymalną na termostacie
3359	Airconditioner	ChangeTemperature	adjust the maximum temperature on my thermostat	dostosuj temperaturę maksymalną na moim termostacie
3360	Airconditioner	ChangeTemperature	adjust the minimum and maximum temperatures on my thermostat	dostosuj temperaturę minimalną i maksymalną na moim termostacie
3361	Airconditioner	ChangeTemperature	it is cold in here	tu jest zimno
3362	Airconditioner	ChangeTemperature	it is too hot and here	jest tu za gorąco
3363	Airconditioner	ChangeTemperature	it is too hot in here	jest tu za gorąco
3364	Airconditioner	ChangeTemperature	it is too cold an here	tu jest za zimno
3365	Airconditioner	GetHumidity	check humidity level	sprawdź poziom wilgotności
3366	Airconditioner	GetHumidity	check the humidity	sprawdź poziom wilgotności
3367	Airconditioner	GetHumidity	show the humidity in here	pokaż jaki jest poziom wilgotności
3368	Airconditioner	GetHumidity	show the humidity in here	pokaż jaki jest poziom wilgotności
3369	Airconditioner	GetHumidity	show me the humidity	pokaż mi jaki jest poziom wilgotności
