id	domain	intent	src	src_bio	src_xml	translated-tgt_xml	translated-tgt_plain_post	eval_text_translation	eval_slot_translation
8980	Spotify	AddAlbumToPlaylist	save this long play to my grime shutdown playlist	o o b-album_type i-album_type o o b-playlist i-playlist o	save this <a>long play<a> to my <b>grime shutdown<b> playlist	zapisz ten <b>long play<b> na mojej liście odtwarzania <a>grime shutdown<a>	zapisz ten long play na mojej liście odtwarzania grime shutdown	1	0
8952	Spotify	AddAlbumToPlaylist	add this lp to feelin myself on spotify	o o b-album_type o b-playlist i-playlist o o	add this <a>lp<a> to <b>feelin myself<b> on spotify	dodaj ten <b>lp<b> do <a>feelin myself<a>	dodaj ten lp do feelin myself	0	0
8976	Spotify	AddAlbumToPlaylist	add that album to my playlist floating through space	o o b-album_type o o o b-playlist i-playlist i-playlist	add that <a>album<a> to my playlist <b>floating through space<b>	dodaj ten <b>album<b> do mojej playlisty <a>floating through space<a>	dodaj ten album do mojej playlisty floating through space	1	0
9080	Spotify	AddAlbumToPlaylist	download that long play on my noises after dark playlist	o o b-album_type i-album_type o o b-playlist i-playlist i-playlist o	download that <a>long play<a> on my <b>noises after dark<b> playlist	ściągnij tę piosenkę <b>long play<b> na mojej liście odtwarzania <a>noises after dark<a>	ściągnij tę piosenkę long play na mojej liście odtwarzania noises after dark	0	0
9009	Spotify	AddAlbumToPlaylist	keep this lp on my rock classics on spotify	o o b-album_type o o b-playlist i-playlist o o	keep this <a>lp<a> on my <b>rock classics<b> on spotify	zachowaj ten <b>lp<b> na mojej <a>rockowej klasice<a>	zachowaj ten lp na mojej rockowej klasice	0	0
9059	Spotify	AddAlbumToPlaylist	remember that album on my classical music for metalheads	o o b-album_type o o b-playlist i-playlist i-playlist i-playlist	remember that <a>album<a> on my <b>classical music for metalheads<b>	zapamiętaj ten <b>album<b> na mojej <a>muzyce klasycznej dla metalheads<a>	zapamiętaj ten album na mojej muzyce klasycznej dla metalheads	1	0
8975	Spotify	AddAlbumToPlaylist	add that lp to my workday lounge on spotify	o o b-album_type o o b-playlist i-playlist o o	add that <a>lp<a> to my <b>workday lounge<b> on spotify	dodaj ten <b>lp<b> do mojego <a>lounge w pracy<a>	dodaj ten lp do mojego lounge w pracy	0	0
9030	Spotify	AddAlbumToPlaylist	remember this long play on my stargazer playlist	o o b-album_type i-album_type o o b-playlist o	remember this <a>long play<a> on my <b>stargazer<b> playlist	zapamiętaj ten <b>long play<b> na mojej liście odtwarzania <a>stargazer<a>	zapamiętaj ten long play na mojej liście odtwarzania stargazer	1	0
9013	Spotify	AddAlbumToPlaylist	e that single undaily lift	o o o o o	e that single undaily lift	e tego jedynego niecodziennego windy	e tego jedynego niecodziennego windy	0	1
9037	Spotify	AddAlbumToPlaylist	remember this album on my classical feast	o o b-album_type o o b-playlist i-playlist	remember this <a>album<a> on my <b>classical feast<b>	zapamiętaj ten <b>album<b> na moim <a>festiwalu klasycznym<a>	zapamiętaj ten album na moim festiwalu klasycznym	0	0
3712	Calendar	AddEventOnDateWithName	create an event called flight to east woodstock in the calendar October 26th	o o o o b-event_name i-event_name i-event_name i-event_name o o o b-date i-date	create an event called <b>flight to east woodstock<b> in the calendar <a>October 26th<a>	utwórz w kalendarzu wydarzenie o nazwie <b>lot do wschodniego stoku<b> <a>26 października<a>	utwórz w kalendarzu wydarzenie o nazwie lot do wschodniego stoku 26 października	0	1
